"GO.ID","Ontology","Term","result"
"GO:0036379","CC","myofilament","0.00012"
"GO:0031430","CC","M band","2e-04"
"GO:0005887","CC","integral component of plasma membrane","0.00043"
"GO:0033178","CC","proton-transporting two-sector ATPase complex, catalytic domain","0.00052"
"GO:0030017","CC","sarcomere","0.00096"
"GO:0030018","CC","Z disc","0.00097"
"GO:0099081","CC","supramolecular polymer","0.003"
"GO:0005743","CC","mitochondrial inner membrane","0.0032"
"GO:0005604","CC","basement membrane","0.0036"
"GO:0031305","CC","integral component of mitochondrial inner membrane","0.0066"
"GO:0005739","CC","mitochondrion","0.008"
"GO:0005615","CC","extracellular space","0.0083"
"GO:0016021","CC","integral component of membrane","0.0085"
"GO:0043292","CC","contractile fiber","0.0087"
"GO:0008137","MF","NADH dehydrogenase (ubiquinone) activity","3.3e-14"
"GO:0008061","MF","chitin binding","3.8e-11"
"GO:0046933","MF","proton-transporting ATP synthase activity, rotational mechanism","6.4e-11"
"GO:0003954","MF","NADH dehydrogenase activity","2.4e-10"
"GO:0009055","MF","electron transfer activity","5.5e-10"
"GO:0015453","MF","oxidoreduction-driven active transmembrane transporter activity","1.7e-07"
"GO:0004129","MF","cytochrome-c oxidase activity","2.2e-07"
"GO:0004568","MF","chitinase activity","5.7e-07"
"GO:0016616","MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","4.5e-05"
"GO:0015078","MF","proton transmembrane transporter activity","8.6e-05"
"GO:0020037","MF","heme binding","0.00016"
"GO:0022853","MF","active ion transmembrane transporter activity","0.00017"
"GO:0016878","MF","acid-thiol ligase activity","0.00073"
"GO:0016811","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","0.0015"
"GO:0051537","MF","2 iron, 2 sulfur cluster binding","0.0022"
"GO:0005326","MF","neurotransmitter transmembrane transporter activity","0.0027"
"GO:0015370","MF","solute:sodium symporter activity","0.0029"
"GO:0051539","MF","4 iron, 4 sulfur cluster binding","0.0031"
"GO:0005509","MF","calcium ion binding","0.0033"
"GO:0015267","MF","channel activity","0.0051"
"GO:0008307","MF","structural constituent of muscle","0.0053"
"GO:0005214","MF","structural constituent of chitin-based cuticle","0.0053"
"GO:0030170","MF","pyridoxal phosphate binding","0.0056"
"GO:0061134","MF","peptidase regulator activity","0.0097"
